fp_bit,functional_groups
fp_1400,其他
fp_1401,其他
fp_1402,其他
fp_1403,其他
fp_1404,其他
fp_1405,其他
fp_1406,其他
fp_1407,其他
fp_1408,其他
fp_1409,其他
fp_1410,其他
fp_1411,其他
fp_1412,其他
fp_1413,其他
fp_1414,其他
fp_1415,其他
fp_1416,其他
fp_1417,其他
fp_1418,其他
fp_1419,其他
fp_1420,其他
fp_1421,其他
fp_1422,其他
fp_1423,其他
fp_1424,其他
fp_1425,其他
fp_1426,其他
fp_1427,其他
fp_1428,其他
fp_1429,其他
fp_1430,胺基
fp_1431,其他
fp_1432,其他
fp_1433,其他
fp_1434,其他
fp_1435,其他
fp_1436,其他
fp_1437,其他
fp_1438,其他
fp_1439,其他
fp_1440,其他
fp_1441,其他
fp_1442,其他
fp_1443,其他
fp_1444,甲基;胺基
fp_1445,末端烯烃或亚甲基
fp_1446,其他
fp_1447,其他
fp_1448,氧负离子
fp_1449,其他
fp_1450,其他
fp_1451,其他
fp_1452,其他
fp_1453,其他
fp_1454,其他
fp_1455,其他
fp_1456,其他
fp_1457,胺基
fp_1458,其他
fp_1459,其他
fp_1460,其他
fp_1461,其他
fp_1462,其他
fp_1463,其他
fp_1464,其他
fp_1465,其他
fp_1466,其他
fp_1467,其他
fp_1468,其他
fp_1469,其他
fp_1470,其他
fp_1471,其他
fp_1472,其他
fp_1473,其他
fp_1474,其他
fp_1475,其他
fp_1476,含硫基团
fp_1477,其他
fp_1478,其他
fp_1479,其他
fp_1480,胺基
fp_1481,其他
fp_1482,其他
fp_1483,其他
fp_1484,其他
fp_1485,其他
fp_1486,其他
fp_1487,其他
fp_1488,其他
fp_1489,其他
fp_1490,其他
fp_1491,其他
fp_1492,氮自由基
fp_1493,其他
fp_1494,其他
fp_1495,碘代烷
fp_1496,其他
fp_1497,其他
fp_1498,其他
fp_1499,其他
fp_1500,其他
fp_1501,其他
fp_1502,其他
fp_1503,其他
fp_1504,其他
fp_1505,其他
fp_1506,其他
fp_1507,其他
fp_1508,其他
fp_1509,其他
fp_1510,其他
fp_1511,其他
fp_1512,其他
fp_1513,其他
fp_1514,其他
fp_1515,其他
fp_1516,其他
fp_1517,其他
fp_1518,其他
fp_1519,其他
fp_1520,其他
fp_1521,其他
fp_1522,其他
fp_1523,其他
fp_1524,其他
fp_1525,胺基
fp_1526,其他
fp_1527,其他
fp_1528,其他
fp_1529,其他
fp_1530,其他
fp_1531,其他
fp_1532,其他
fp_1533,其他
fp_1534,其他
fp_1535,其他
fp_1536,其他
fp_1537,其他
fp_1538,其他
fp_1539,其他
fp_1540,其他
fp_1541,其他
fp_1542,其他
fp_1543,其他
fp_1544,其他
fp_1545,其他
fp_1546,其他
fp_1547,其他
fp_1548,其他
fp_1549,其他
fp_1550,其他
fp_1551,其他
fp_1552,其他
fp_1553,其他
fp_1554,其他
fp_1555,其他
fp_1556,其他
fp_1557,其他
fp_1558,其他
fp_1559,其他
fp_1560,其他
fp_1561,其他
fp_1562,其他
fp_1563,胺基
fp_1564,甲基
fp_1565,其他
fp_1566,其他
fp_1567,含硫基团
fp_1568,其他
fp_1569,其他
fp_1570,含硫基团
fp_1571,其他
fp_1572,其他
fp_1573,其他
fp_1574,其他
fp_1575,其他
fp_1576,其他
fp_1577,其他
fp_1578,其他
fp_1579,其他
fp_1580,其他
fp_1581,其他
fp_1582,其他
fp_1583,其他
fp_1584,其他
fp_1585,其他
fp_1586,其他
fp_1587,其他
fp_1588,其他
fp_1589,其他
fp_1590,胺基
fp_1591,其他
fp_1592,其他
fp_1593,含硫基团
fp_1594,其他
fp_1595,其他
fp_1596,其他
fp_1597,其他
fp_1598,其他
fp_1599,其他
fp_1600,其他
fp_1601,其他
fp_1602,其他
fp_1603,氮自由基
fp_1604,其他
fp_1605,其他
fp_1606,其他
fp_1607,其他
fp_1608,其他
fp_1609,其他
fp_1610,其他
fp_1611,其他
fp_1612,其他
fp_1613,其他
fp_1614,其他
fp_1615,其他
fp_1616,其他
fp_1617,其他
fp_1618,其他
fp_1619,其他
fp_1620,铅中心
fp_1621,其他
fp_1622,其他
fp_1623,其他
fp_1624,其他
